iter	Passed	Remaining
433	1849	4555
434	1851	4544
435	1852	4532
436	1853	4521
437	1854	4508
438	1855	4496
439	1857	4487
440	1858	4475
441	1859	4463
442	1862	4455
443	1864	4445
444	1864	4432
445	1866	4421
446	1867	4409
447	1868	4397
448	1868	4385
449	1869	4372
450	1870	4360
451	1870	4348
452	1870	4348
453	1872	4333
454	1880	4339
455	1881	4327
456	1883	4319
457	1884	4308
458	1888	4302
459	1890	4293
460	1891	4281
461	1891	4270
462	1892	4257
463	1892	4245
464	1893	4233
465	1893	4221
466	1894	4210
467	1895	4198
468	1895	4186
469	1896	4175
470	1898	4165
471	1899	4154
472	1900	4143
473	1900	4132
474	1901	4121
475	1903	4113
476	1905	4104
477	1906	4093
478	1907	4083
479	1908	4072
480	1908	4061
481	1909	4051
482	1912	4043
483	1913	4033
484	1914	4022
485	1915	4014
486	1931	4035
487	1932	4025
488	1938	4024
489	1957	4050
490	1957	4040
491	1961	4034
492	1962	4024
493	1962	4013
494	1963	4001
495	1963	3991
496	1964	3980
497	1966	3971
498	1966	3961
499	1967	3950
500	1967	3939
501	1968	3929
502	1969	3919
503	1970	3908
504	2032	4020
505	2035	4013
506	2036	4004
507	2037	3995
508	2038	3984
509	2039	3974
510	2054	3991
511	2055	3980
512	2062	3983
513	2063	3973
514	2065	3965
515	2066	3955
516	2067	3945
517	2067	3934
518	2069	3927
519	2071	3918
520	2072	3908
521	2074	3900
522	2075	3891
523	2076	3881
524	2077	3872
525	2078	3862
526	2079	3852
527	2080	3844
528	2082	3836
529	2084	3829
530	2085	3820
531	2086	3810
532	2087	3801
533	2090	3795
534	2091	3786
535	2092	3776
536	2093	3767
537	2094	3758
538	2095	3748
539	2100	3746
540	2101	3738
541	2102	3729
542	2103	3719
543	2106	3713
544	2107	3705
545	2108	3696
546	2109	3688
547	2110	3678
548	2111	3669
549	2112	3661
550	2113	3653
551	2114	3643
552	2116	3636
553	2117	3627
554	2117	3618
555	2118	3609
556	2121	3604
557	2122	3595
558	2131	3600
559	2139	3603
560	2141	3596
561	2142	3586
562	2143	3578
563	2151	3581
564	2151	3571
565	2154	3565
566	2154	3556
567	2155	3548
568	2156	3539
569	2156	3530
570	2159	3524
571	2161	3518
572	2163	3510
573	2164	3501
574	2164	3493
575	2165	3485
576	2166	3476
577	2168	3468
578	2170	3463
579	2171	3454
580	2171	3445
581	2173	3438
582	2178	3437
583	2179	3429
584	2180	3421
585	2185	3418
586	2186	3410
587	2187	3402
588	2187	3394
589	2189	3386
590	2190	3378
591	2190	3370
592	2194	3365
593	2199	3363
594	2207	3367
595	2212	3365
596	2213	3356
597	2213	3348
598	2214	3340
599	2215	3331
600	2220	3331
601	2221	3323
602	2222	3314
603	2223	3306
604	2226	3302
605	2227	3294
606	2227	3286
607	2228	3278
608	2229	3270
609	2230	3262
610	2235	3261
611	2236	3253
612	2237	3245
613	2238	3238
614	2239	3231
615	2280	3281
616	2282	3274
617	2283	3266
618	2284	3259
619	2285	3251
620	2286	3244
621	2286	3235
622	2287	3228
623	2288	3221
624	2291	3216
625	2292	3208
626	2293	3201
627	2294	3193
628	2299	3192
629	2300	3184
630	2301	3176
631	2458	3384
632	2459	3376
633	2460	3368
634	2461	3360
635	2461	3352
636	2466	3349
637	2471	3346
638	2471	3338
639	2476	3336
640	2477	3328
641	2478	3319
642	2480	3313
643	2482	3307
644	2483	3299
645	2484	3292
646	2485	3284
647	2486	3276
648	2486	3268
649	2487	3260
650	2488	3252
651	2490	3246
652	2492	3240
653	2494	3234
654	2599	3360
655	2600	3353
656	2602	3346
657	2603	3338
658	2609	3337
659	2610	3329
660	2612	3322
661	2613	3315
662	2614	3307
663	2615	3299
664	2617	3293
665	2618	3286
666	2619	3277
667	2621	3272
668	2623	3265
669	2624	3258
670	2625	3250
671	2626	3242
672	2628	3236
673	2629	3229
674	2654	3251
675	2657	3245
676	2672	3255
677	2674	3248
678	2675	3241
679	2676	3233
680	2676	3225
681	2677	3217
682	2723	3264
683	2724	3256
684	2725	3248
685	2726	3241
686	2726	3233
687	2727	3225
688	2729	3219
689	2730	3211
690	2731	3203
691	2735	3200
692	2736	3192
693	2737	3184
694	2739	3178
695	2739	3170
696	2744	3167
697	2745	3160
698	2748	3155
699	2749	3147
700	2751	3141
701	2751	3133
702	2752	3125
703	2753	3118
704	2756	3113
705	2757	3106
706	2764	3105
707	2767	3101
708	2775	3101
709	2776	3094
710	2777	3087
711	2777	3079
712	2778	3072
713	2779	3064
714	2784	3061
715	2785	3055
716	2786	3048
717	2787	3040
718	2787	3033
719	2790	3027
720	2791	3020
721	2792	3013
722	2793	3006
723	2793	2999
724	2794	2991
725	2840	3032
726	2840	3025
727	2842	3018
728	2842	3011
729	2843	3004
730	2844	2996
731	2845	2989
732	2846	2983
733	2848	2977
734	2849	2970
735	2850	2963
736	2851	2956
737	2852	2949
738	2854	2943
739	2855	2936
740	2870	2944
741	2870	2936
742	2871	2929
743	2872	2923
744	2873	2916
745	2874	2909
746	2875	2902
747	2875	2895
748	2876	2888
749	2877	2881
750	2877	2874
751	2878	2866
752	2879	2860
753	2880	2853
754	2896	2861
755	2897	2854
756	2897	2847
757	2898	2841
758	2899	2834
759	2900	2827
760	2915	2834
761	2917	2829
762	2919	2823
763	2921	2818
764	2922	2811
765	2936	2816
766	2936	2809
767	2937	2802
768	2937	2795
769	2938	2789
770	2940	2783
771	2940	2776
772	2944	2772
773	2945	2765
774	2946	2759
775	2948	2753
776	2949	2747
777	2952	2743
778	2954	2737
779	2961	2737
780	2962	2730
781	2964	2725
782	2965	2718
783	2966	2712
784	2969	2707
785	2969	2700
786	2970	2693
787	2970	2687
788	2971	2680
789	2972	2674
790	2973	2668
791	2976	2663
792	2977	2657
793	2978	2650
794	2979	2644
795	2980	2638
796	2980	2631
797	2982	2625
798	2984	2620
799	2985	2614
800	2986	2608
801	3129	2726
802	3131	2720
803	3131	2713
804	3133	2707
805	3133	2700
806	3134	2694
807	3135	2687
808	3137	2681
809	3137	2675
810	3139	2669
811	3146	2668
812	3151	2665
813	3155	2661
814	3159	2657
815	3169	2658
816	3170	2652
817	3171	2645
818	3171	2639
819	3172	2632
820	3173	2626
821	3173	2619
822	3174	2613
823	3176	2607
824	3178	2602
825	3179	2596
826	3186	2594
827	3187	2588
828	3189	2583
829	3190	2577
830	3192	2571
831	3192	2565
832	3193	2558
833	3194	2552
834	3194	2545
835	3195	2539
836	3196	2533
837	3197	2527
838	3202	2524
839	3207	2521
840	3209	2516
841	3210	2510
842	3211	2504
843	3214	2499
844	3219	2496
845	3220	2490
846	3221	2484
847	3222	2478
848	3223	2472
849	3224	2466
850	3224	2460
851	3225	2454
852	3226	2448
853	3226	2442
854	3227	2436
855	3229	2430
856	3230	2424
857	3231	2418
858	3232	2413
859	3233	2407
860	3234	2401
861	3235	2395
862	3238	2390
863	3239	2385
864	3240	2379
865	3240	2373
866	3241	2367
867	3242	2361
868	3243	2355
869	3243	2349
870	3244	2343
871	3245	2338
872	3247	2332
873	3247	2326
874	3248	2320
875	3249	2315
876	3254	2312
877	3255	2306
878	3256	2301
879	3257	2295
880	3258	2289
881	3261	2285
882	3262	2280
883	3263	2274
884	3264	2269
885	3265	2263
886	3266	2257
887	3269	2253
888	3271	2248
889	3272	2242
890	3273	2237
891	3274	2232
892	3274	2226
893	3276	2220
894	3276	2215
895	3277	2209
896	3278	2204
897	3279	2198
898	3281	2193
899	3282	2188
900	3284	2183
901	3284	2177
902	3284	2177
903	3287	2169
904	3287	2164
905	3289	2158
906	3303	2162
907	3304	2156
908	3305	2151
909	3308	2147
910	3310	2142
911	3314	2138
912	3314	2133
913	3318	2129
914	3319	2124
915	3320	2119
916	3322	2114
917	3323	2108
918	3324	2103
919	3326	2098
920	3326	2093
921	3327	2087
922	3328	2082
923	3329	2077
924	3342	2079
925	3357	2083
926	3359	2078
927	3364	2075
928	3365	2070
929	3366	2064
930	3367	2059
931	3368	2054
932	3384	2058
933	3384	2052
934	3385	2047
935	3386	2042
936	3387	2036
937	3388	2031
938	3393	2028
939	3394	2023
940	3395	2018
941	3396	2012
942	3397	2007
943	3400	2003
944	3401	1998
945	3402	1993
946	3403	1988
947	3404	1983
948	3405	1978
949	3407	1974
950	3409	1969
951	3409	1963
952	3410	1958
953	3412	1954
954	3414	1949
955	3415	1944
956	3416	1939
957	3417	1934
958	3418	1929
959	3418	1924
960	3420	1919
961	3430	1919
962	3475	1938
963	3480	1935
964	3482	1931
965	3482	1926
966	3483	1920
967	3484	1915
968	3484	1910
969	3485	1904
970	3485	1899
971	3486	1894
972	3486	1894
973	3487	1885
974	3491	1882
975	3492	1877
